month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2015-01-01,Bronx,1,EXP,BXM1,Off-Peak,2197,2463,89.2001624
2015-01-01,Bronx,1,EXP,BXM1,Peak,1254,1647,76.1384335
2015-01-01,Bronx,1,EXP,BXM10,Off-Peak,1696,1876,90.4051173
2015-01-01,Bronx,1,EXP,BXM10,Peak,1290,1614,79.9256506
2015-01-01,Bronx,1,EXP,BXM11,Off-Peak,1808,2073,87.2165943
2015-01-01,Bronx,1,EXP,BXM11,Peak,1033,1450,71.2413793
2015-01-01,Bronx,1,EXP,BXM18,Off-Peak,103,132,78.030303
2015-01-01,Bronx,1,EXP,BXM18,Peak,422,501,84.2315369
2015-01-01,Bronx,1,EXP,BXM2,Off-Peak,2157,2476,87.1163166
2015-01-01,Bronx,1,EXP,BXM2,Peak,908,1228,73.9413681
2015-01-01,Bronx,1,EXP,BXM3,Off-Peak,1485,1750,84.8571429
2015-01-01,Bronx,1,EXP,BXM3,Peak,761,995,76.4824121
2015-01-01,Bronx,1,EXP,BXM4,Off-Peak,848,1003,84.5463609
2015-01-01,Bronx,1,EXP,BXM4,Peak,471,590,79.8305085
2015-01-01,Bronx,1,EXP,BXM6,Off-Peak,740,796,92.9648241
2015-01-01,Bronx,1,EXP,BXM6,Peak,481,596,80.704698
2015-01-01,Bronx,1,EXP,BXM7,Off-Peak,4173,4579,91.1334352
2015-01-01,Bronx,1,EXP,BXM7,Peak,2465,2942,83.7865398
2015-01-01,Bronx,1,EXP,BXM8,Off-Peak,1639,1861,88.0709296
2015-01-01,Bronx,1,EXP,BXM8,Peak,1566,1930,81.1398964
2015-01-01,Bronx,1,EXP,BXM9,Off-Peak,1854,2035,91.1056511
2015-01-01,Bronx,1,EXP,BXM9,Peak,1330,1898,70.0737619
2015-01-01,Bronx,2,EXP,BXM1,Off-Peak,771,858,89.8601399
2015-01-01,Bronx,2,EXP,BXM1,Peak,324,398,81.4070352
2015-01-01,Bronx,2,EXP,BXM10,Off-Peak,655,723,90.5947441
2015-01-01,Bronx,2,EXP,BXM10,Peak,302,327,92.3547401
2015-01-01,Bronx,2,EXP,BXM11,Off-Peak,691,859,80.4423749
2015-01-01,Bronx,2,EXP,BXM11,Peak,300,363,82.6446281
2015-01-01,Bronx,2,EXP,BXM18,Off-Peak,8,8,100
2015-01-01,Bronx,2,EXP,BXM18,Peak,22,26,84.6153846
2015-01-01,Bronx,2,EXP,BXM2,Off-Peak,679,889,76.3779528
2015-01-01,Bronx,2,EXP,BXM2,Peak,295,385,76.6233766
2015-01-01,Bronx,2,EXP,BXM3,Off-Peak,611,683,89.4582723
2015-01-01,Bronx,2,EXP,BXM3,Peak,246,297,82.8282828
2015-01-01,Bronx,2,EXP,BXM4,Off-Peak,486,547,88.8482633
2015-01-01,Bronx,2,EXP,BXM4,Peak,203,225,90.2222222
2015-01-01,Bronx,2,EXP,BXM6,Off-Peak,376,416,90.3846154
2015-01-01,Bronx,2,EXP,BXM6,Peak,128,143,89.5104895
2015-01-01,Bronx,2,EXP,BXM7,Off-Peak,1713,2068,82.8336557
2015-01-01,Bronx,2,EXP,BXM7,Peak,774,989,78.2608696
2015-01-01,Bronx,2,EXP,BXM8,Off-Peak,592,678,87.3156342
2015-01-01,Bronx,2,EXP,BXM8,Peak,261,307,85.0162866
2015-01-01,Bronx,2,EXP,BXM9,Off-Peak,634,692,91.6184971
2015-01-01,Bronx,2,EXP,BXM9,Peak,266,299,88.9632107
2015-01-01,Bronx,1,LCL/LTD,BX1,Off-Peak,15722,19586,80.2716226
2015-01-01,Bronx,1,LCL/LTD,BX1,Peak,7381,10468,70.5101261
2015-01-01,Bronx,1,LCL/LTD,BX10,Off-Peak,11055,13678,80.8232198
2015-01-01,Bronx,1,LCL/LTD,BX10,Peak,4795,6859,69.9081499
2015-01-01,Bronx,1,LCL/LTD,BX11,Off-Peak,10008,11905,84.0655187
2015-01-01,Bronx,1,LCL/LTD,BX11,Peak,5457,7230,75.4771784
2015-01-01,Bronx,1,LCL/LTD,BX12,Off-Peak,12883,15386,83.7319641
2015-01-01,Bronx,1,LCL/LTD,BX12,Peak,4206,5862,71.7502559
2015-01-01,Bronx,1,LCL/LTD,BX13,Off-Peak,7427,9374,79.2297845
2015-01-01,Bronx,1,LCL/LTD,BX13,Peak,3833,5229,73.3027347
2015-01-01,Bronx,1,LCL/LTD,BX15,Off-Peak,22432,29085,77.1256662
2015-01-01,Bronx,1,LCL/LTD,BX15,Peak,8460,13060,64.7779479
2015-01-01,Bronx,1,LCL/LTD,BX16,Off-Peak,8478,10458,81.0671256
2015-01-01,Bronx,1,LCL/LTD,BX16,Peak,4446,6658,66.7768099
2015-01-01,Bronx,1,LCL/LTD,BX17,Off-Peak,10085,12527,80.5061068
2015-01-01,Bronx,1,LCL/LTD,BX17,Peak,5066,7249,69.8855014
2015-01-01,Bronx,1,LCL/LTD,BX18,Off-Peak,923,1144,80.6818182
